crash_id,timeperiod_id
20215133,1
20215156,2
20215047,2
20215063,3
20215152,4
20215013,1
20215078,1
20215057,1
20215150,1
20215054,1
20215144,4
20215151,5
20215066,5
20215076,6
20215105,6
20215106,6
20215141,7
20215018,5
20215149,5
20215024,5
20215095,7
20215001,8
20215114,8
20215067,8
20215065,9
20215041,10
20215020,10
20215125,10
20215157,8
20215059,8
20215154,8
20215102,11
20215127,12
20215077,13
20215044,12
20215140,13
20215088,14
20215155,11
20215147,11
20215055,11
20215121,11
20215014,11
20215040,14
20215142,14
20215132,11
20215128,11
20215089,11
20215028,15
20215002,16
20215022,16
20215030,15
20215038,16
20215049,16
20215145,16
20215110,15
20215015,17
20215007,18
20215123,19
20215091,18
20215153,18
20215139,19
20215082,20
20215131,20
20215005,20
20215046,19
20215143,18
20215061,21
20215052,18
20215099,22
20215004,23
20215021,24
20215073,24
20215009,23
20215098,23
20215096,24
20215070,24
20215148,24
20215045,23
20215083,25
20215011,25
20215056,25
20215053,26
20215033,27
20215068,26
20215006,26
20215100,27
20215036,27
20215037,27
20215108,26
20215124,25
20215069,25
20215058,25
20215092,25
20215090,28
20215094,29
20215050,30
20215115,31
20215134,32
20215093,32
20215003,29
20215136,33
20215111,30
20215039,30
20215043,34
20215146,35
20215042,36
20215087,36
20215034,37
20215086,34
20215027,37
20215074,34
20215097,34
20215060,38
20215119,38
20215103,39
20215138,39
20215117,39
20215129,40
20215081,41
20215008,40
20215158,42
20215071,42
20215126,42
20215080,42
20215026,43
20215051,43
20215113,43
20215064,43
20215118,44
20215029,44
20215010,44
20215085,45
20215135,43
20215079,42
20215048,42
20215130,46
20215025,46
20215109,42
20215031,42
20215032,42
20215112,46
20215035,42
