crash_id,roaduser_id
20215133,1
20215156,2
20215047,3
20215063,4
20215152,5
20215013,6
20215078,7
20215057,8
20215150,9
20215054,10
20215144,11
20215151,12
20215066,13
20215076,14
20215076,15
20215105,16
20215106,17
20215141,18
20215018,19
20215149,20
20215024,5
20215095,21
20215095,22
20215001,23
20215114,24
20215067,25
20215065,7
20215041,4
20215020,26
20215125,27
20215157,28
20215059,4
20215154,29
20215102,30
20215127,26
20215077,31
20215044,32
20215140,33
20215088,34
20215155,35
20215147,36
20215055,37
20215121,38
20215014,39
20215040,40
20215142,41
20215142,42
20215132,43
20215128,44
20215089,45
20215028,46
20215002,47
20215022,48
20215030,49
20215038,34
20215049,50
20215145,51
20215110,52
20215015,53
20215007,54
20215123,55
20215091,56
20215153,57
20215139,58
20215082,59
20215131,60
20215005,61
20215046,59
20215143,48
20215061,62
20215052,63
20215099,48
20215004,64
20215021,65
20215073,66
20215009,66
20215098,67
20215096,68
20215070,69
20215070,6
20215148,67
20215045,70
20215083,71
20215011,72
20215056,73
20215053,74
20215033,75
20215068,76
20215006,77
20215100,4
20215036,78
20215037,79
20215108,80
20215124,81
20215069,82
20215058,73
20215092,69
20215090,78
20215094,83
20215050,84
20215115,54
20215134,17
20215093,85
20215003,86
20215136,87
20215136,88
20215111,5
20215039,89
20215043,90
20215146,91
20215042,92
20215087,93
20215034,94
20215086,95
20215027,35
20215074,96
20215097,97
20215060,98
20215119,59
20215103,85
20215138,99
20215117,100
20215129,101
20215081,102
20215008,103
20215158,104
20215071,105
20215126,106
20215080,107
20215026,108
20215051,6
20215113,109
20215064,64
20215118,35
20215029,110
20215010,111
20215085,112
20215135,113
20215079,114
20215079,115
20215048,106
20215130,116
20215025,117
20215109,66
20215031,118
20215032,119
20215112,94
20215035,99
