National LGA Name 2024,lga_id
York,1
Rockingham,2
Plantagenet,3
Kwinana,4
Murray,5
Dumbleyung,6
Port Hedland,7
Stirling,8
Cambridge,9
Wanneroo,10
Gosnells,11
Dandaragan,12
Serpentine-Jarrahdale,13
Mandurah,14
Woodanilling,15
Dowerin,16
Kalgoorlie-Boulder,17
Greater Geraldton,18
Harvey,19
Bayswater,20
Swan,21
Albany,22
Chittering,23
Canning,24
Perenjori,25
Mount Magnet,26
Donnybrook-Balingup,27
Augusta Margaret River,28
Vincent,29
Wickepin,30
Cockburn,31
Victoria Park,32
Armadale,33
Bunbury,34
Gingin,35
Moora,36
Perth,37
Busselton,38
Williams,39
Kojonup,40
Mount Marshall,41
Karratha,42
Coolgardie,43
Derby-West Kimberley,44
Mundaring,45
Belmont,46
Nungarin,47
Northam,48
Melville,49
Bassendean,50
Yilgarn,51
Broome,52
Chapman Valley,53
Broomehill-Tambellup,54
Meekatharra,55
Esperance,56
Capel,57
Dundas,58
Lake Grace,59
Dardanup,60
Kondinin,61
Kent,62
Wagin,63
Manjimup,64
Denmark,65
Boddington,66
Bruce Rock,67
Kulin,68
Cuballing,69
Carnarvon,70
Wyndham-East Kimberley,71
Beverley,72
Ravensthorpe,73
Joondalup,74
