lga_id,sa4_id
357,79
358,80
359,79
360,80
361,81
362,79
363,82
364,83
366,84
367,83
368,85
369,79
370,85
371,81
372,79
373,79
374,86
375,86
376,87
377,88
378,88
381,79
383,79
384,85
385,86
386,86
387,87
389,87
390,84
391,79
392,80
393,85
394,85
395,87
396,79
397,79
398,84
399,87
400,79
402,79
403,79
405,82
407,86
408,82
409,88
410,85
411,79
413,79
414,80
415,88
416,79
417,82
418,86
419,79
420,86
421,86
422,87
423,86
424,79
425,87
426,79
427,79
429,79
430,87
431,79
432,79
433,79
434,79
435,79
437,86
439,82
440,79
441,86
442,83
364,84
361,79
