National LGA Name 2024,SA4 Name 2021,National Remoteness Areas,National Road Type,location_id
Wagga Wagga,Riverina,Inner Regional Australia,Arterial Road,1
Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,Inner Regional Australia,Local Road,2
Northern Midlands,Launceston and North East,Inner Regional Australia,Local Road,3
Armidale,New England and North West,Outer Regional Australia,National or State Highway,4
Lockyer Valley,Toowoomba,Inner Regional Australia,National or State Highway,5
Wakefield,Barossa - Yorke - Mid North,Outer Regional Australia,Sub-arterial Road,6
Southern Downs,Darling Downs - Maranoa,Inner Regional Australia,Local Road,7
Brighton,Hobart,Inner Regional Australia,Local Road,8
West Tamar,Launceston and North East,Outer Regional Australia,National or State Highway,9
Mid Murray,South Australia - South East,Outer Regional Australia,Local Road,10
Blue Mountains,Sydney - Outer West and Blue Mountains,Major Cities of Australia,National or State Highway,11
Upper Lachlan,Capital Region,Inner Regional Australia,National or State Highway,12
Wattle Range,South Australia - South East,Outer Regional Australia,Local Road,13
Cairns,Cairns,Outer Regional Australia,Collector Road,14
Wollongong,Illawarra,Major Cities of Australia,National or State Highway,15
Penrith,Sydney - Outer West and Blue Mountains,Major Cities of Australia,Collector Road,16
Upper Hunter,Hunter Valley exc Newcastle,Outer Regional Australia,National or State Highway,17
South Burnett,Wide Bay,Outer Regional Australia,National or State Highway,18
Mid-Western,Central West,Outer Regional Australia,Arterial Road,19
Canterbury-Bankstown,Sydney - Inner South West,Major Cities of Australia,Collector Road,20
Greater Hume,Murray,Outer Regional Australia,National or State Highway,21
Southern Downs,Darling Downs - Maranoa,Outer Regional Australia,Local Road,22
Barossa,Barossa - Yorke - Mid North,Inner Regional Australia,Sub-arterial Road,23
Wattle Range,South Australia - South East,Outer Regional Australia,National or State Highway,24
Port Macquarie-Hastings,Mid North Coast,Inner Regional Australia,National or State Highway,25
Mackay,Mackay - Isaac - Whitsunday,Outer Regional Australia,National or State Highway,26
Douglas,Cairns,Outer Regional Australia,Local Road,27
Yankalilla,South Australia - South East,Inner Regional Australia,Arterial Road,28
Logan,Logan - Beaudesert,Major Cities of Australia,Sub-arterial Road,29
Dorset,Launceston and North East,Outer Regional Australia,National or State Highway,30
Armidale,New England and North West,Inner Regional Australia,Local Road,31
Nambucca Valley,Mid North Coast,Inner Regional Australia,National or State Highway,32
