Year,Month,Day of week,Time of day,Christmas Period,Easter Period,timeperiod_id
2021,12,Weekday,Day,No,No,1
2021,12,Weekend,Day,Yes,No,2
2021,12,Weekend,Day,No,No,3
2021,12,Weekday,Day,Yes,No,4
2021,11,Weekday,Day,No,No,5
2021,11,Weekend,Night,No,No,6
2021,11,Weekday,Night,No,No,7
2021,10,Weekday,Day,No,No,8
2021,10,Weekend,Day,No,No,9
2021,10,Weekend,Night,No,No,10
2021,9,Weekday,Day,No,No,11
2021,9,Weekend,Night,No,No,12
2021,9,Weekend,Day,No,No,13
2021,9,Weekday,Night,No,No,14
2021,8,Weekday,Day,No,No,15
2021,8,Weekend,Night,No,No,16
2021,8,Weekday,Night,No,No,17
2021,7,Weekday,Day,No,No,18
2021,7,Weekend,Night,No,No,19
2021,7,Weekend,Day,No,No,20
2021,7,Weekday,Night,No,No,21
2021,6,Weekend,Night,No,No,22
2021,6,Weekday,Night,No,No,23
2021,6,Weekday,Day,No,No,24
2021,5,Weekday,Day,No,No,25
2021,5,Weekend,Night,No,No,26
2021,5,Weekend,Day,No,No,27
2021,5,Weekday,Night,No,No,28
2021,4,Weekend,Night,No,No,29
2021,4,Weekday,Day,No,No,30
2021,4,Weekday,Day,No,Yes,31
2021,4,Weekend,Day,No,Yes,32
2021,4,Weekend,Day,No,No,33
2021,3,Weekday,Day,No,No,34
2021,3,Weekend,Night,No,No,35
2021,3,Weekend,Day,No,No,36
2021,3,Weekday,Night,No,No,37
2021,2,Weekend,Night,No,No,38
2021,2,Weekend,Day,No,No,39
2021,2,Weekday,Day,No,No,40
2021,2,Weekday,Night,No,No,41
2021,1,Weekday,Day,No,No,42
2021,1,Weekend,Night,No,No,43
2021,1,Weekend,Day,No,No,44
2021,1,Weekend,Night,Yes,No,45
2021,1,Weekday,Night,No,No,46
